id	full_name	sub_institution	institution	city	country	sub_institution_2	institution_2	city_2	country_2
1	Aaron Tuor		Pacific Northwest National Laboratory	Richland	USA				
2	Amir Farzad	Department of Electrical and Computer Engineering	University of Victoria	Victoria	Canada				
3	Andres Vargas Hernandez		Catholic University of America	Washington DC	USA				
4	Andy Brown		Western Washington University	Bellingham	USA				
5	Biplob Debnath		NEC Laboratories America Inc.	Princeton	USA				
6	Bo Li	School of Computer Science and Engineering	Beihang University	Beijing	China				
7	Bo Qiao		Microsoft Research	Beijing	China				
8	Bo Zong		NEC Laboratories America Inc.	Princeton	USA				
9	Brian Hutchinson		Western Washington University	Bellingham	USA				
10	Chen Xu	Information Technology Branch	Jiaxing Hengchuang Electric Group Co., Ltd	Zhejiang	China				
11	Chenjing Gong	College of Information Engineering	Qingdao Binhai University	Qingdao	China				
12	Chunyu Xie		Microsoft Research	Beijing	China				
13	Cristian Lumezanu		NEC Laboratories America Inc.	Princeton	USA				
14	Daniel Robert Abercrombie		Massachusetts Institute of Technology	Cambridge	USA				
15	Dongmei Zhang		Microsoft Research	Beijing 	China				
16	Eric Tan		Sift Analytics		Singapore				
17	Feifei Li	School of Computing	University of Utah	Salt Lake City	USA				
18	Furao Shen		Nanjing University	Nanjing	China				
19	Guangsheng Cao	College of Information Engineering	Qingdao Binhai University	Qingdao	China				
20	Guineng Zheng	School of Computing	University of Utah	Salt Lake City	USA				
21	Guofei Jiang		Ant Financial	Hangzhou	China		NEC Laboratories America Inc.	Princeton	USA
22	Guofu Li	College of Communication and Art Design	University of Shanghai for Science and Technology	Shanghai	China	Computer Science and Informatics	University College Dublin	Dublin	Ireland
23	Hailong Cheng	School of Computer Science	Wuhan University	Wuhan	China				
24	Hamed Bakhshiansohi		Deutsches Elektronen-Synchrotron	Hamburg	Germany				
25	Hongjun Li	College of Information Engineering	Qingdao Binhai University	Qingdao	China				
26	Hongyu Zhang		Microsoft Research	Beijing	China		University of Newcastle	Callaghan	Australia
27	Hui Zhang		Ant Financial	Hangzhou	China		NEC Laboratories America Inc.	Princeton	USA
28	Jean-Roch Vlimant		California Institute of Technology	Pasadena	USA				
29	Jennifer Adelman-McCarthy		Fermi National Accelerator Laboratory	Batavia	USA				
30	Jiajun Jiang	College of Intelligence and Computing	Tianjin University	Tianjin	China				
31	Jian-Guang Lou		Microsoft Research	Beijing	China				
32	Jiang Li		Microsoft Research	Beijing	China				
33	Jianwu Xu		NEC Laboratories America Inc.	Princeton	USA				
34	Jieming Zhu	Department of Computer Science and Engineering	The Chinese University of Hong Kong	Hong Kong	China				
