id	year	authors	title	publication	group	doi	citations	impact	learning_categories	models_implemented	key_words	abstract
1	2009	Qiang Fu;Jian-Guang Lou;Yi Wang;Jiang Li	Execution Anomaly Detection in Distributed Systems through Unstructured Log Analysis	9th IEEE International Conference on Data Mining	Experimental	10.1109/ICDM.2009.60	555	42.69	unsupervised	clustering;finite state automaton	log analysis;distributed system;problem diagnosis;FSA	Detection of execution anomalies is very important for the maintenance, development, and performance refinement of large scale distributed systems. Execution anomalies include both work flow errors and low performance problems. People often use system logs produced by distributed systems for troubleshooting and problem diagnosis. However, manually inspecting system logs to detect anomalies is unfeasible due to the increasing scale and complexity of distributed systems. Therefore, there is a great demand for automatic anomaly detection techniques based on log analysis. In this paper, we propose an unstructured log analysis technique for anomaly detection. In the technique, we propose a novel algorithm to convert free form text messages in log files to log keys without heavily relying on application specific knowledge. The log keys correspond to the log-print statements in the source code which can provide cues of system execution behavior. After converting log messages to log keys, we learn a Finite State Automaton (FSA) from training log sequences to present the normal work flow for each system component. At the same time, a performance measurement model is learned to characterize the normal execution performance based on the log messages’ timing information. With these learned models, we can automatically detect anomalies in newly input log files. Experiments on Hadoop and SILK show that the technique can effectively detect running anomalies.
2	2016	Shilin He;Jieming Zhu;Pinjia He;Michael R. Lyu	Experience Report: System Log Analysis for Anomaly Detection	27th IEEE International Symposium On Software Reliability Engineering	Survey	10.1109/ISSRE.2016.21	359	59.83	NA	NA	NA	Logs have been an imperative resource to ensure the reliability and continuity of many software systems, especially large-scale distributed systems. They faithfully record runtime information to facilitate system troubleshooting and behavior understanding. Due to the large scale and complexity of modern software systems, the volume of logs has reached an unprecedented level. Consequently, for log-based anomaly detection, conventional manual inspection methods or even traditional machine learning-based methods become impractical, which serve as a catalyst for the rapid development of deep learning-based solutions. However, there is currently a lack of rigorous comparison among the representative log-based anomaly detectors that resort to neural networks. Moreover, the re-implementation process demands non-trivial efforts, and bias can be easily introduced. To better understand the characteristics of different anomaly detectors, in this paper, we provide a comprehensive review and evaluation of five popular neural networks used by six state-of-the-art methods. Particularly, four of the selected methods are unsupervised, and the remaining two are supervised. These methods are evaluated with two publicly available log datasets, which contain nearly 16 million log messages and 0.4 million anomaly instances in total. We believe our work can serve as a basis in this field and con
3	2016	Qingwei Lin;Hongyu Zhang;Jian-Guang Lou;Yu Zhang;Xuewei Chen	Log clustering based problem identification for online service systems	38th IEEE/ACM International Conference on Software Engineering Companion	Experimental	10.1145/2889160.2889232	259	43.17	unsupervised	clustering	logs;problem identification;log clustering;diagnosis;online service system	Logs play an important role in the maintenance of large-scale online service systems. When an online service fails, engineers need to examine recorded logs to gain insights into the failure and identify the potential problems. Traditionally, engineers perform simple keyword search (such as “error” and “exception”) of logs that may be associated with the failures. Such an approach is often time consuming and error prone. Through our collaboration with Microsoft service product teams, we propose LogCluster, an approach that clusters the logs to ease log-based problem identification. LogCluster also utilizes a knowledge base to check if the log sequences occurred before. Engineers only need to examine a small number of previously unseen, representative log sequences extracted from the clusters to identify a problem, thus significantly reducing the number of logs that should be examined, meanwhile improving the identification accuracy. Through experiments on two Hadoop-based applications and two large-scale Microsoft online service systems, we show that our approach is effective and outperforms the state-of-the-art work proposed by Shang et al. in ICSE 2013. We have successfully applied LogCluster to the maintenance of many actual Microsoft online service systems. In this paper, we also share our success stories and lessons learned.
4	2017	MIn Du;Feifei Li;Guineng Zheng;Vivek Srikumar	DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning	Proceedings of the 2017 ACM SIGSAC Conference on computer and communications security	Experimental	10.1145/3133956.3134015	803	160.6	supervised	long short-term memory	anomaly detection;deep learning;log data analysis	Anomaly detection is a critical step towards building a secure and trustworthy system. e primary purpose of a system log is to record system states and signicant events at various critical points to help debug system failures and perform root cause analysis. Such log data is universally available in nearly all computer systems. Log data is an important and valuable resource for understanding system status and performance issues; therefore, the various system logs are naturally excellent source of information for online monitoring and anomaly detection. We propose DeepLog, a deep neural network model utilizing Long Short-Term Memory (LSTM), to model a system log as a natural language sequence. is allows DeepLog to automatically learn log paerns from normal execution, and detect anomalies when log paerns deviate from the model trained from log data under normal execution. In addition, we demonstrate how to incrementally update the DeepLog model in an online fashion so that it can adapt to new log paerns over time. Furthermore, DeepLog constructs workows from the underlying system log so that once an anomaly is detected, users can diagnose the detected anomaly and perform root cause analysis effectively. Extensive experimental evaluations over large log data have shown that DeepLog has outperformed other existing log-based anomaly detection methods based on traditional data mining methodologies.
5	2017	Qiming Cao;Yinrong Qiao;Zhong Lyu	Machine learning to detect anomalies in web log analysis	3rd IEEE International Conference on Computer and Communications	Experimental	10.1109/CompComm.2017.8322600	38	7.6	supervised	decision tree classifier;hidden markov model	machine learning;anomaly detection;log files component	As the information technology develops rapidly, Web servers are easily to be attacked because of their high value. Therefore, Web security has aroused great concern in both academia and industry. Anomaly detection plays a significant role in the field of Web security, and log messages recording detailed system runtime information has become an important data analysis object accordingly. Traditional log anomaly detection relies on programmers to manually inspect by keyword search and regular expression match. Although the programmers can use intrusion detection system to reduce their workload, yet the log system data is huge, attack types are various, and hacking skills are improving, which make the traditional detection not efficient enough. To improve the traditional detection technology, many of anomaly detection mechanisms have been proposed in recent years, especially the machine learning method. In this paper, an anomaly detection system for web log files has been proposed, which adopts a two-level machine learning algorithm. The decision tree model classifies normal and anomalous data sets. The normal data set is manually checked for the establishment of multiple HMMs. The experimental data comes from the real industrial environment where log files have been collected, which contain many true intrusion messages. After comparing with three types of machine learning algorithms used in anomaly detection, the experimental results on this data set suggest that this system achieves highe
6	2018	Siyang Lu;Xiang Wei;Yandong Li;Liqiang Wang	Detecting Anomaly in Big Data System Logs Using Convolutional Neural Network	16th Intl Conf on Dependable, Autonomic and Secure Computing, 16th Intl Conf on Pervasive Intelligence and Computing, 4th Intl Conf on Big Data Intelligence and Computing and Cyber Science and Technology Congress	Experimental	10.1109/DASC/PiCom/DataCom/CyberSciTec.2018.00037	71	17.75	supervised	convolutional neural network	cnn;big data;log analysis;anomaly detection	Nowadays, big data systems are being widely adopted by many domains for offering effective data solutions, such as manufacturing, healthcare, education, and media. Big data systems produce tons of unstructured logs that contain buried valuable information. However, it is a daunting task to manually unearth the information and detect system anomalies. A few automatic methods have been developed, where the cuttingedge machine learning technique is one of the most promising ways. In this paper, we propose a novel approach for anomaly detection from big data system logs by leveraging Convolutional Neural Networks (CNN). Different from other existing statistical methods or traditional rule-based machine learning approaches, our CNN-based model can automatically learn event relationships in system logs and detect anomaly with high accuracy. Our deep neural network consists of logkey2vec embeddings, three 1D convolutional layers, dropout layer, and max-pooling. According to our experiment, our CNN-based approach has better accuracy (reaches to 99%) compared to other approaches using Long Short term memory (LSTM) and Multilayer Perceptron (MLP) on detecting anomaly in Hadoop Distributed File System (HDFS) logs.
7	2018	Biplog Bebnath;Mohiuddin Solaimani;Muhammad Ali Gulzar;Nipun Arora;Cristian Lumezanu;Jianwu Xu;Bo Zong;Hui Zhang;Guofei Jiang;Latifur Khan	LogLens: A Real-time Log Analysis System	IEEE 38th International conference on Distributed Computing Systems	Experimental	10.1109/ICDCS.2018.00105	61	15.25	unsupervised	finite state automaton	log analysis;log parsing;anomaly detection;unsupervised learning;big data processing;spark;log sequence violation;distributed computing;real time system;event driven compution	Administrators of most user-facing systems depend on periodic log data to get an idea of the health and status of production applications. Logs report information, which is crucial to diagnose the root cause of complex problems. In this paper, we present a real-time log analysis system called LogLens that automates the process of anomaly detection from logs with no (or minimal) target system knowledge and user specification. In LogLens, we employ unsupervised machine learning based techniques to discover patterns in application logs, and then leverage these patterns along with the real-time log parsing for designing advanced log analytics applications. Compared to the existing systems which are primarily limited to log indexing and search capabilities, LogLens presents an extensible system for supporting both stateless and stateful log analysis applications. Currently, LogLens is running at the core of a commercial log analysis solution handling millions of logs generated from the large-scale industrial environments and reported up to 12096x man-hours reduction in troubleshooting operational problems compared to the manual approach.
8	2018	Andy Brown;Aaron Tuor;Brian Hutchinson;Nicole Nichols	Recurrent Neural Network Attention Mechanisms for Interpretable System Log Anomaly Detection	Proceedings of the First Workshop on Machine Learning for Computing Systems	Experimental	10.1145/3217871.3217872	146	36.5	suprevised	long short-term memory	anomaly detection;attention;recurrent neural networks;interpretable machine learning;online training;system log analysis	Deep learning has recently demonstrated state-of-the art performance on key tasks related to the maintenance of computer systems, such as intrusion detection, denial of service attack detection, hardware and software system failures, and malware detection. In these contexts, model interpretability is vital for administrator and analyst to trust and act on the automated analysis of machine learning models. Deep learning methods have been criticized as black box oracles which allow limited insight into decision factors. In this work we seek to bridge the gap between the impressive performance of deep learning models and the need for interpretable model introspection. To this end we present recurrent neural network (RNN) language models augmented with attention for anomaly detection in system logs. Our methods are generally applicable to any computer system and logging source. By incorporating attention variants into our RNN language models we create opportunities for model introspection and analysis without sacrificing state-of-the art performance. We demonstrate model performance and illustrate model interpretability on an intrusion detection task using the Los Alamos National Laboratory (LANL) cyber security dataset, reporting upward of 0.99 area under the receiver operator characteristic curve despite being trained only on a single day’s worth of data.
9	2018	Mengying Wang;Lele Xu;Lili Guo	Anomaly Detection of System Logs Based on Natural Language Processing and Deep Learning	4th International Conference on Frontiers of Signal Processing	Experimental	10.1109/ICFSP.2018.8552075	22	NA	unsupervised;supervised	word2vec;term frequency-inverse document frequency;long short-term memory	anomaly detection;word2vec;tf-idf;lstm;log analysis;natural language processing	System logs record the execution trajectory of the system and exist in all components of the system. Nowadays, the systems are deployed in a distributed environment and they generate logs which contain complex format and rich semantic information. Simple statistical analysis methods cannot fully capture log information for effective abnormal detection of software systems. In this paper, we propose to analyze the logs by combining feature extraction methods from natural language processing and anomaly detection methods from deep learning. Two feature extraction algorithms, Word2vec and Term Frequency-Inverse Document Frequency (TF-IDF), are respectively adopted and compared here to obtain the log information, and then one deep learning method named Long Short-Term Memory (LSTM) is applied for the anomaly detection. To validate the effectiveness of the proposed method, we compare LSTM with other machine learning algorithms, including Gradient Boosting Decision Tree (GBDT) and Naïve Bayes, the results show that LSTM can perform the best for anomaly detection of system logs with both of the two feature extraction methods, indicating that LSTM can capture contextual semantic information effectively in log anomaly detection and will be a promising tool for log analysis.
10	2019	Shridhar Allagi;Rashmi Rachh	Analysis of Network log data using Machine Learning	5th International conference for Convergence in Technology (I2CT)	Experimental	10.1109/i2ct45611.2019.9033737	11	3.67	supervised	k-means;self organizing feature map	machine learning;supervised learning;k-means, sofm	The proliferation of web base usage has also resulted in an escalation in unauthorized network access. In this scenario, it is imperative to periodically analyze log records of the network so that malicious users can be identified. This process can be automated using machine learning techniques. In this paper, analysis of log records of a network is carried out using supervised machine learning techniques. K-means and Self organizing feature map (SOFM) algorithms have been used with the data set obtained from the UCI machine learning repository. An accuracy of 97.2% has been archived.
